id,pairid,speed,datetime,traveltime
602,16981,39.1,9/12/14 3:05,276
603,10356,45.5,9/12/14 3:05,411
604,10496,49.5,9/12/14 3:05,291
605,10498,64.6,9/12/14 3:05,78
606,10499,64.9,9/12/14 3:05,222
607,10360,52.4,9/12/14 3:05,364
608,10364,34.9,9/12/14 3:05,587.999
609,10363,19.7,9/12/14 3:05,692.999
610,10361,42.2,9/12/14 3:05,324
611,10357,65.9,9/12/14 3:20,142
612,16981,47.4,9/12/14 3:20,228
613,10356,47.4,9/12/14 3:20,395
614,10496,49.5,9/12/14 3:20,291
615,10498,64.6,9/12/14 3:20,78
616,10499,66.1,9/12/14 3:20,218
617,10360,55.5,9/12/14 3:20,344
618,10364,34.9,9/12/14 3:20,587.999
619,10363,19.7,9/12/14 3:20,692.999
620,10361,47.3,9/12/14 3:20,289
621,10357,67.8,9/12/14 3:35,138
622,16981,47.4,9/12/14 3:35,228
623,10356,46.5,9/12/14 3:35,403
624,10496,49.5,9/12/14 3:35,291
625,10498,57.9,9/12/14 3:35,87.0001
626,10499,59.3,9/12/14 3:35,243
627,10360,49.9,9/12/14 3:35,382
628,10364,34.9,9/12/14 3:35,587.999
629,10363,19.7,9/12/14 3:35,692.999
630,10361,47.3,9/12/14 3:35,289
631,10357,65.9,9/12/14 3:50,142
632,16981,47.2,9/12/14 3:50,229
633,10356,46.5,9/12/14 3:50,403
634,10496,49.5,9/12/14 3:50,291
635,10498,60.7,9/12/14 3:50,83
636,10499,59.3,9/12/14 3:50,243
637,10360,49.9,9/12/14 3:50,382
638,10364,34.9,9/12/14 3:50,587.999
639,10363,24.6,9/12/14 3:50,557.001
640,10361,47.3,9/12/14 3:50,289
641,10357,60.8,9/12/14 4:05,154
642,16981,47,9/12/14 4:05,230
643,10356,46.5,9/12/14 4:05,403
644,10496,49.8,9/12/14 4:05,289
645,10498,59.3,9/12/14 4:05,85
646,10499,60.8,9/12/14 4:05,237
647,10360,55,9/12/14 4:05,347
648,10364,35.3,9/12/14 4:05,581
649,10363,24.6,9/12/14 4:05,557.001
650,10361,47.3,9/12/14 4:05,289
651,10357,60.8,9/12/14 4:20,154
652,16981,41.8,9/12/14 4:20,258.453
653,10356,47.4,9/12/14 4:20,395
654,10496,50.7,9/12/14 4:20,284
655,10498,60,9/12/14 4:20,84
656,10499,60.3,9/12/14 4:20,239
657,10360,58.2,9/12/14 4:20,328
658,10364,35.3,9/12/14 4:20,581
659,10363,24.6,9/12/14 4:20,557.001
660,10361,51.4,9/12/14 4:20,266
661,10357,65,9/12/14 4:35,144
662,16981,43,9/12/14 4:35,250.936
663,10356,49.7,9/12/14 4:35,377
664,10496,53.3,9/12/14 4:35,270
665,10498,60,9/12/14 4:35,84
666,10499,60.3,9/12/14 4:35,239
667,10360,57.5,9/12/14 4:35,332
668,10364,37.7,9/12/14 4:35,544
669,10363,24.6,9/12/14 4:35,557.001
670,10361,49.2,9/12/14 4:35,278
671,10357,65,9/12/14 4:50,144
672,16981,41.8,9/12/14 4:50,258.453
673,10356,49.7,9/12/14 4:50,377
674,10496,53.3,9/12/14 4:50,270
675,10498,62.2,9/12/14 4:50,81
676,10499,61.3,9/12/14 4:50,235
677,10360,58.5,9/12/14 4:50,326
678,10364,37.7,9/12/14 4:50,544
679,10363,47.7,9/12/14 4:50,287
680,10361,54.7,9/12/14 4:50,250
681,10357,65.9,9/12/14 5:05,142
682,16981,43,9/12/14 5:05,250.936
683,10356,52.4,9/12/14 5:05,357
684,10496,53.7,9/12/14 5:05,268
685,10498,57.9,9/12/14 5:05,87.0001
