"","pair_id","insert_time","travel_time","time"
"10088760",10356,"2013-09-15 21:25:00","383",2013-09-15 21:25:00
"10088761",10356,"2013-09-15 21:30:00","407",2013-09-15 21:30:00
"10088762",10356,"2013-09-15 21:35:00","383",2013-09-15 21:35:00
"10088763",10356,"2013-09-15 21:40:00","355",2013-09-15 21:40:00
"10088764",10356,"2013-09-15 21:45:00","355",2013-09-15 21:45:00
"10088765",10356,"2013-09-15 21:50:00","355",2013-09-15 21:50:00
"10088766",10356,"2013-09-15 21:55:00","357",2013-09-15 21:55:00
"10088767",10356,"2013-09-15 22:00:00","377",2013-09-15 22:00:00
"10088768",10356,"2013-09-15 22:05:00","379",2013-09-15 22:05:00
"10088769",10356,"2013-09-15 22:10:00","362",2013-09-15 22:10:00
"10088770",10356,"2013-09-15 22:15:00","334",2013-09-15 22:15:00
"10088771",10356,"2013-09-15 22:20:00","342",2013-09-15 22:20:00
"10088772",10356,"2013-09-15 22:25:00","346",2013-09-15 22:25:00
"10088773",10356,"2013-09-15 22:30:00","338",2013-09-15 22:30:00
"10088774",10356,"2013-09-15 22:35:00","346",2013-09-15 22:35:00
"10088775",10356,"2013-09-15 22:40:00","368",2013-09-15 22:40:00
"10088776",10356,"2013-09-15 22:45:00","358",2013-09-15 22:45:00
"10088777",10356,"2013-09-15 22:50:00","350",2013-09-15 22:50:00
"10088778",10356,"2013-09-15 22:55:00","350",2013-09-15 22:55:00
"10088779",10356,"2013-09-15 23:00:00","350",2013-09-15 23:00:00
"10088780",10356,"2013-09-15 23:05:00","350",2013-09-15 23:05:00
"10088781",10356,"2013-09-15 23:10:00","330",2013-09-15 23:10:00
"10088782",10356,"2013-09-15 23:15:00","360",2013-09-15 23:15:00
"10088783",10356,"2013-09-15 23:20:00","362",2013-09-15 23:20:00
"10088784",10356,"2013-09-15 23:25:00","354",2013-09-15 23:25:00
"10088785",10356,"2013-09-15 23:30:00","344",2013-09-15 23:30:00
"10088786",10356,"2013-09-15 23:35:00","352",2013-09-15 23:35:00
"10088787",10356,"2013-09-15 23:40:00","357",2013-09-15 23:40:00
"10088788",10356,"2013-09-15 23:45:00","375",2013-09-15 23:45:00
"10088789",10356,"2013-09-15 23:50:00","344",2013-09-15 23:50:00
"10088790",10356,"2013-09-15 23:55:00","344",2013-09-15 23:55:00
"10088791",10356,"2013-09-16 00:00:00","340",2013-09-16 00:00:00
"10088792",10356,"2013-09-16 00:05:00","340",2013-09-16 00:05:00
"10088793",10356,"2013-09-16 00:10:00","352",2013-09-16 00:10:00
"10088794",10356,"2013-09-16 00:15:00","348",2013-09-16 00:15:00
"10088795",10356,"2013-09-16 00:20:00","352",2013-09-16 00:20:00
"10088796",10356,"2013-09-16 00:25:00","359",2013-09-16 00:25:00
"10088797",10356,"2013-09-16 00:30:00","343",2013-09-16 00:30:00
"10088798",10356,"2013-09-16 00:35:00","343",2013-09-16 00:35:00
"10088799",10356,"2013-09-16 00:40:00","323",2013-09-16 00:40:00
"10088800",10356,"2013-09-16 00:45:00","331",2013-09-16 00:45:00
"10088801",10356,"2013-09-16 00:50:00","363",2013-09-16 00:50:00
"10088802",10356,"2013-09-16 00:55:00","363",2013-09-16 00:55:00
"10088803",10356,"2013-09-16 01:00:00","329",2013-09-16 01:00:00
"10088804",10356,"2013-09-16 01:05:00","329",2013-09-16 01:05:00
"10088805",10356,"2013-09-16 01:10:00","335",2013-09-16 01:10:00
"10088806",10356,"2013-09-16 01:15:00","351",2013-09-16 01:15:00
"10088807",10356,"2013-09-16 01:20:00","361",2013-09-16 01:20:00
"10088808",10356,"2013-09-16 01:25:00","363",2013-09-16 01:25:00
"10088809",10356,"2013-09-16 01:30:00","363",2013-09-16 01:30:00
"10088810",10356,"2013-09-16 01:35:00","378",2013-09-16 01:35:00
"10088811",10356,"2013-09-16 01:40:00","339",2013-09-16 01:40:00
"10088812",10356,"2013-09-16 01:45:00","329",2013-09-16 01:45:00
"10088813",10356,"2013-09-16 01:50:00","329",2013-09-16 01:50:00
"10088814",10356,"2013-09-16 01:55:00","329",2013-09-16 01:55:00
"10088815",10356,"2013-09-16 02:00:00","345",2013-09-16 02:00:00
"10088816",10356,"2013-09-16 02:05:00","345",2013-09-16 02:05:00
"10088817",10356,"2013-09-16 02:10:00","373",2013-09-16 02:10:00
"10088818",10356,"2013-09-16 02:15:00","393",2013-09-16 02:15:00
"10088819",10356,"2013-09-16 02:20:00","403",2013-09-16 02:20:00
"10088820",10356,"2013-09-16 02:25:00","383",2013-09-16 02:25:00
"10088821",10356,"2013-09-16 02:30:00","363",2013-09-16 02:30:00
"10088822",10356,"2013-09-16 02:35:00","363",2013-09-16 02:35:00
"10088823",10356,"2013-09-16 02:40:00","361",2013-09-16 02:40:00
"10088824",10356,"2013-09-16 02:45:00","353",2013-09-16 02:45:00
"10088825",10356,"2013-09-16 02:50:00","353",2013-09-16 02:50:00
"10088826",10356,"2013-09-16 02:55:00","349",2013-09-16 02:55:00
"10088827",10356,"2013-09-16 03:00:00","349",2013-09-16 03:00:00
"10088828",10356,"2013-09-16 03:05:00","333",2013-09-16 03:05:00
"10088829",10356,"2013-09-16 03:10:00","345",2013-09-16 03:10:00
"10088830",10356,"2013-09-16 03:15:00","333",2013-09-16 03:15:00
"10088831",10356,"2013-09-16 03:20:00","349",2013-09-16 03:20:00
"10088832",10356,"2013-09-16 03:25:00","349",2013-09-16 03:25:00
"10088833",10356,"2013-09-16 03:30:00","351",2013-09-16 03:30:00
"10088834",10356,"2013-09-16 03:35:00","351",2013-09-16 03:35:00
"10088835",10356,"2013-09-16 03:40:00","351",2013-09-16 03:40:00
"10088836",10356,"2013-09-16 03:45:00","365",2013-09-16 03:45:00
"10088837",10356,"2013-09-16 03:50:00","401",2013-09-16 03:50:00
"10088838",10356,"2013-09-16 03:55:00","401",2013-09-16 03:55:00
"10088839",10356,"2013-09-16 04:00:00","401",2013-09-16 04:00:00
"10088840",10356,"2013-09-16 04:05:00","365",2013-09-16 04:05:00
